RK,NAME,TEAM,PUNTS,YDS,LNG,AVG,NET
1,James Ferguson-Reynolds,BOIS,55,2735,71,49.7,43.2
2,Jeremy Crawshaw,FLA,42,2052,68,48.9,44.3
3,Ryan Rehkow,BYU,68,3287,70,48.3,41.1
4,Tory Taylor,IOWA,93,4479,67,48.2,44.2
5,Matthew Hayball,VAN,58,2759,71,47.6,43.7
6,James Burnip,ALA,57,2710,67,47.5,42.8
7,Marshall Nichols,UNLV,51,2400,60,47.1,42.1
8,Max Fletcher,ARK,59,2770,71,46.9,40.1
9,Ryan Eckley,MSU,56,2615,67,46.7,42.5
10,Porter Wilson,DUKE,54,2519,70,46.6,43.8
11,Austin McNamara,TTU,55,2548,59,46.3,42.2
12,James Evans,IU,57,2612,70,45.8,41.1
13,Blake Ochsendorf,LT,53,2423,70,45.7,40.5
14,Ryan Sanborn,TEX,40,1828,64,45.7,42.8
15,Mitchell Tomasek,EMU,67,3060,72,45.7,42.1
16,Riley Thompson,PSU,51,2327,56,45.6,43.0
17,Alex Mastromanno,FSU,66,3004,59,45.5,43.3
18,Jack Bouwmeester,UTAH,55,2503,64,45.5,40.2
19,Jack Browning,SDSU,54,2449,66,45.4,42.6
20,George Caratan,CONN,61,2752,69,45.1,39.3
21,Bryce McFerson,ND,38,1712,59,45.1,37.9
22,Riley Riethman,NAVY,80,3583,68,44.8,40.7
23,Oscar Chapman,AUB,62,2775,71,44.8,41.6
24,Jack Stonehouse,SYR,62,2766,64,44.6,38.4
25,Grant Gonya,CLT,60,2670,67,44.5,37.4
26,Ryan Bujcevski,SMU,40,1779,56,44.5,39.3
27,Lachlan Wilson,CAL,53,2357,73,44.5,38.5
28,Nick Haberer,WSU,47,2088,62,44.4,41.8
29,Mark Vassett,COLO,65,2884,60,44.4,41.4
30,Tyler Perkins,ISU,61,2703,70,44.3,40.1
31,Tommy Doman,MICH,53,2346,71,44.3,41.2
32,Alec Bevelhimer,M-OH,58,2566,64,44.2,42.4
33,Joshua Sloan,UTEP,51,2254,66,44.2,39.2
34,Logan Lupo,FAU,55,2424,71,44.1,39.1
35,Will Karoll,TULN,43,1894,65,44.0,40.9
36,William Przystup,ARST,61,2680,67,43.9,39.2
37,Miles Tillman,MTSU,34,1489,63,43.8,38.1
38,Dylan Joyce,MIA,43,1882,60,43.8,41.9
39,Aidan Swanson,CLEM,61,2664,62,43.7,40.3
40,Anthony Venneri,BUFF,53,2311,64,43.6,41.1
41,Jesse Mirco,OSU,50,2174,72,43.5,40.4
42,Eddie Czaplicki,USC,44,1906,57,43.3,40.8
43,Paddy Turner,CSU,52,2250,65,43.3,40.7
44,Jake Walrath,CMU/TAR,62,2681,63,43.2,38.3
45,Reid Bauer,MEM,44,1902,65,43.2,39.8
46,Ryan Marks,USU,38,1642,75,43.2,37.5
47,Kai Kroeger,SC,62,2676,60,43.2,41.2
48,Peter Moore,VT,60,2588,62,43.1,40.7
49,Oliver Straw,WVU,43,1853,61,43.1,42.1
50,John McConnell,MRSH,55,2370,74,43.1,36.8
51,Palmer Williams,BAY,37,1592,53,43.0,37.9
52,Mason Fletcher,CIN,45,1935,57,43.0,41.4
53,Sawyer Evans,UNT,31,1331,64,42.9,41.7
54,Daniel Sparks,UVA,64,2746,70,42.9,37.2
55,David Shanahan,GT,45,1927,61,42.8,38.6
56,Patrick Foley,UAB,41,1755,69,42.8,38.2
57,Angus Davies,TLSA,58,2479,62,42.7,39.8
58,Hugh Robertson,ILL,51,2176,66,42.7,39.5
59,Aidan Flintoft,STAN,30,1278,52,42.6,40.9
60,Caden Noonkester,NCSU,71,3022,67,42.6,39.5
61,Trey Turk,MTSU,33,1404,55,42.5,39.1
62,Mark Crawford,MINN,65,2762,56,42.5,40.4
63,Jackson Ross,TENN,55,2337,71,42.5,41.3
64,Fraser Masin,MISS,48,2038,54,42.5,38.9
65,Kyle Ostendorp,ARIZ,35,1485,69,42.4,36.6
66,Aaron Rodriguez,UNM,52,2204,61,42.4,34.6
67,Caleb Junko,PITT,62,2623,61,42.3,36.1
68,Lucas Dean,UTSA,51,2156,59,42.3,40.5
69,Robert Cole,TROY,52,2198,60,42.3,38.8
70,Jack Dawson,JVST,65,2747,65,42.3,41.0
71,Colton Spangler,MD,38,1605,54,42.2,38.9
72,Laine Wilkins,HOU,49,2069,66,42.2,40.4
73,Jordy Sandy,TCU,37,1561,57,42.2,39.1
74,Clayton Stewart,WYO,61,2567,72,42.1,38.4
75,Will Powers,UCLA,48,2018,57,42.0,39.5
76,Alex Weir,SJSU,45,1879,60,41.8,37.0
77,Carson King,FRES,52,2171,66,41.8,38.4
78,Jack McCallister,WASH,45,1878,56,41.7,40.8
79,Lucas Borrow,BALL,57,2372,65,41.6,35.7
80,Ivan Mora,WAKE,58,2410,64,41.6,38.9
81,Evan Crenshaw,CCU,37,1536,67,41.5,39.1
82,Thomas Leo,UL,53,2194,64,41.4,39.6
83,Wilson Berry,UK,55,2276,56,41.4,37.6
84,Jack Blumer,KSU,52,2151,69,41.4,37.7
85,Mitch McCarthy,UCF,37,1530,64,41.4,35.8
86,Atticus Bertrams,WIS,63,2602,60,41.3,39.1
87,Nik Constantinou,TA&M,41,1693,54,41.3,39.1
88,CJ Kolodziey,MASS,51,2105,62,41.3,32.8
89,Matt Freem,NEV,66,2719,62,41.2,38.6
90,Max Morgan,LIB,35,1441,65,41.2,37.9
91,Josh Smith,KENT,50,2052,67,41.0,36.7
92,Tom Ellard,WKU,46,1886,60,41.0,38.2
93,Braxton Guilbeau,ULM,61,2499,74,41.0,38.5
94,Zach Haynes,NMSU,52,2129,54,40.9,39.3
95,Jadon Cardell,SHSU,75,3070,60,40.9,37.5
96,Andrew Stokes,USF,56,2292,62,40.9,39.3
97,Luke Larsen,ECU,60,2453,56,40.9,38.9
98,Keelan Crimmins,MSST,49,2003,55,40.9,39.6
99,Kade Loggins,GAST,60,2451,59,40.8,34.8
100,Seamus O'Kelly,TXST,45,1836,55,40.8,38.8
101,Jack Ansell,PUR,60,2444,65,40.7,37.2
102,Brian Buschini,NEB,57,2320,60,40.7,37.8
103,Ryan Hanson,JMU,59,2395,59,40.6,38.5
104,Tom Foley,NIU,51,2070,79,40.6,39.2
105,Bryce Lofton,USM,60,2422,57,40.4,37.2
106,Jack Martin,USA,42,1689,54,40.2,39.5
107,Alex Smith,GASO,47,1871,58,39.8,36.4
108,Tom Maginness,UNC,33,1313,57,39.8,36.7
109,Hudson Kaak,OKST,38,1508,54,39.7,38.3
110,Carson Voss,WMU,48,1904,55,39.7,34.3
111,Flynn Appleby,RUTG,57,2258,75,39.6,38.8
112,Ethan Duane,ODU,46,1820,61,39.6,34.2
113,Matthew Shipley,HAW,60,2369,56,39.5,36.2
114,Dante Atton,TEM,43,1693,57,39.4,36.6
115,Conor Hunt,RICE,54,2123,64,39.3,35.9
116,Daton Montiel,FIU,72,2820,58,39.2,37.8
117,Mitchell Lake,APP,54,2107,57,39.0,37.5
118,Hunter Renner,NU,71,2747,54,38.7,37.5
119,Sam Candotti,BC,33,1269,51,38.5,36.0
120,Emilio Duran,TOL,53,2003,69,37.8,36.8
121,Dante Jackson,AKR,65,2437,65,37.5,36.2
122,Cooper Allan,ARMY,44,1617,58,36.8,34.8
